2024-05-29 09:31:40.313 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 17.0.11 with PID 17272 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/classes started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 12:42:34.069 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 3.486 seconds (process running for 5.333)
2024-05-29 12:53:34.972 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 27175 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 12:53:34.986 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 12:53:36.514 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 12:53:36.962 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 12:53:36.973 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 3.494 seconds (process running for 5.472)
2024-05-29 12:59:43.477 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 3a2071d2-61b6-4431-9dac-315bc578c23f | greeting cinusx
2024-05-29 12:59:43.479 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 3a2071d2-61b6-4431-9dac-315bc578c23f | greeting cinusx
2024-05-29 12:59:43.480 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 3a2071d2-61b6-4431-9dac-315bc578c23f | greeting cinusx
2024-05-29 13:02:07.308 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | a879eca3-b7dd-4773-83ea-dc3654da20cb | greeting fajra
2024-05-29 13:02:07.323 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | a879eca3-b7dd-4773-83ea-dc3654da20cb | greeting fajra
2024-05-29 13:02:07.324 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | a879eca3-b7dd-4773-83ea-dc3654da20cb | greeting fajra
2024-05-29 13:02:23.048 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 33aaebef-53dd-4023-92e6-e6e6df9e7319 | greeting fajra
2024-05-29 13:02:23.050 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 33aaebef-53dd-4023-92e6-e6e6df9e7319 | greeting fajra
2024-05-29 13:02:23.051 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 33aaebef-53dd-4023-92e6-e6e6df9e7319 | greeting fajra
2024-05-29 13:02:27.751 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 0d25e3d8-808d-411b-ab3f-819f43c1b0c7 | greeting fajra
2024-05-29 13:02:27.752 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 0d25e3d8-808d-411b-ab3f-819f43c1b0c7 | greeting fajra
2024-05-29 13:02:27.753 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 0d25e3d8-808d-411b-ab3f-819f43c1b0c7 | greeting fajra
2024-05-29 13:02:56.524 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | b639df28-52d4-4748-9f7f-f4b0cb864d5a | greeting fajra
2024-05-29 13:02:56.526 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | b639df28-52d4-4748-9f7f-f4b0cb864d5a | greeting fajra
2024-05-29 13:02:56.526 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | b639df28-52d4-4748-9f7f-f4b0cb864d5a | greeting fajra
2024-05-29 13:02:59.160 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | c14a0b8b-41f8-43a4-a3cf-87a71c84bfe8 | greeting fajra
2024-05-29 13:02:59.161 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | c14a0b8b-41f8-43a4-a3cf-87a71c84bfe8 | greeting fajra
2024-05-29 13:02:59.162 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | c14a0b8b-41f8-43a4-a3cf-87a71c84bfe8 | greeting fajra
